27,43,27,98,92,33,62,81,78,29,78,74,65,41,14,85,48,80,92,56,54,65,16,32,49,39,63,45,99,30,47,23,87,60,37,8,51,47,44,34,34,74,26,34,65,98,83,27,78,52,40,12,91,71,20,93,62,37,43,85,38,97,89,29,42,64,35,93,97,87,38,66,46,22,77,39,89,14,83,3,86,91,39,6,57,79,38,72,83,36,27,26,61,98,3,81,45,54,76,99
92,75,57,33,98,53,41,68,49,37,45,62,76,95,34,1,59,58,62,64,10,80,22,21,49,58,18,22,79,15,35,28,16,16,50,62,81,70,92,65,45,25,41,1,19,37,95,61,4,23,63,37,26,12,78,14,35,35,42,96,68,86,52,54,93,31,10,32,72,98,56,96,4,60,95,44,45,48,85,25,41,83,15,62,21,42,81,83,97,82,81,59,41,14,31,69,27,44,95,53
46,42,91,65,5,43,97,73,8,11,53,40,21,63,11,34,22,79,12,26,85,30,15,39,7,75,88,76,4,53,47,96,13,23,20,91,58,46,18,52,79,46,49,23,66,41,40,83,16,78,41,29,67,77,31,18,11,20,31,30,71,62,47,22,18,54,54,78,27,85,3,2,30,20,77,83,92,20,72,81,81,40,88,83,58,12,5,48,45,61,52,71,71,6,71,79,80,26,26,97
38,61,37,85,74,87,85,29,76,15,93,41,93,17,42,73,25,74,76,33,31,17,4,53,63,46,98,63,62,11,89,98,20,27,33,90,20,38,13,53,18,14,68,50,91,53,20,77,67,48,46,20,66,83,11,28,87,44,63,75,94,3,67,73,47,1,84,80,83,11,87,75,64,69,61,48,12,24,98,34,93,7,26,81,25,49,54,4,9,16,60,35,13,92,100,45,30,16,9,1
85,75,17,67,3,39,85,60,54,60,62,35,34,93,76,93,69,77,59,38,8,26,87,98,88,8,9,74,12,83,12,16,26,48,52,98,4,87,18,56,31,71,6,58,34,63,23,58,58,31,38,55,14,61,48,40,60,53,55,77,29,5,68,43,82,66,35,88,44,75,37,85,84,21,75,62,38,80,70,27,49,60,56,51,15,85,100,5,71,14,89,48,99,46,7,16,93,90,90,36
88,87,93,96,98,51,8,84,26,46,69,3,26,48,40,40,53,94,82,57,28,41,13,91,92,4,52,30,75,100,96,76,72,24,42,98,53,78,24,82,81,70,74,39,80,92,69,6,18,58,45,4,32,97,59,47,7,76,52,94,82,98,70,81,99,40,55,15,34,86,42,3,52,82,5,81,16,70,27,72,23,75,30,26,10,13,11,8,16,86,41,12,16,81,98,86,36,99,93,20
26,88,21,73,81,79,78,100,76,4,67,22,48,75,21,29,29,60,100,4,71,21,15,81,41,24,60,60,76,31,45,70,97,19,98,39,5,92,1,1,24,36,22,84,54,24,75,92,58,21,25,49,40,73,36,55,1,42,7,28,39,90,13,89,3,75,51,36,59,93,75,46,21,81,63,20,21,67,82,43,87,71,5,56,11,14,46,80,67,29,37,65,10,68,35,1,75,95,67,83
33,27,2,41,79,10,58,20,11,16,6,84,75,55,100,44,32,84,21,88,27,63,30,68,25,99,20,43,26,78,60,68,33,80,18,72,66,12,94,78,81,80,95,55,54,46,2,97,50,50,3,66,2,11,28,10,9,31,57,16,20,5,51,66,54,4,18,44,38,28,18,11,1,55,7,99,66,18,86,34,66,64,8,79,65,4,58,81,53,66,31,6,89,32,69,6,2,25,26,51
96,38,74,40,98,58,16,27,73,97,91,6,55,56,81,65,97,3,91,68,88,67,73,22,5,37,26,1,18,82,52,80,79,15,8,24,90,46,85,32,90,43,68,21,18,81,79,15,13,71,12,66,13,23,86,43,45,95,65,60,28,49,14,44,9,77,31,64,53,63,85,79,40,74,43,27,50,53,56,50,29,89,38,58,51,73,14,78,87,93,96,14,93,71,52,33,17,97,17,73
73,98,28,25,57,66,70,39,8,74,31,51,66,59,46,11,49,1,21,88,93,26,89,57,25,53,13,54,3,28,96,14,21,30,21,56,58,54,68,7,82,56,44,24,71,58,84,46,22,64,100,57,30,53,58,75,23,25,6,15,95,46,74,21,61,7,19,51,25,28,89,50,70,94,31,96,33,44,27,97,39,68,74,60,97,43,16,96,58,81,55,27,94,56,16,78,27,36,10,78
